
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
     Total Material
       Y0,0 Flux Moment                     0.248180       +/- 5.71614E-05
       Y1,-1 Flux Moment                    9.20468E-06    +/- 2.02010E-05
       Y1,0 Flux Moment                     -5.55880E-04   +/- 3.91713E-07
       Y1,1 Flux Moment                     3.24523E-06    +/- 1.99535E-05
       Y2,-2 Flux Moment                    -1.79051E-05   +/- 1.59257E-05
       Y2,-1 Flux Moment                    -1.49514E-06   +/- 1.02926E-06
       Y2,0 Flux Moment                     5.57097E-03    +/- 1.46517E-05
       Y2,1 Flux Moment                     -7.12673E-07   +/- 1.02684E-06
       Y2,2 Flux Moment                     4.73196E-06    +/- 1.61517E-05
       Y3,-3 Flux Moment                    -1.41154E-05   +/- 1.39780E-05
       Y3,-2 Flux Moment                    -3.12706E-06   +/- 1.03065E-06
       Y3,-1 Flux Moment                    -8.69190E-06   +/- 1.20167E-05
       Y3,0 Flux Moment                     2.57361E-04    +/- 8.04291E-07
       Y3,1 Flux Moment                     -9.59009E-06   +/- 1.18406E-05
       Y3,2 Flux Moment                     -4.43213E-07   +/- 1.02064E-06
       Y3,3 Flux Moment                     -2.79344E-06   +/- 1.39606E-05
       Y0,0 Total Reaction Rate Moment      0.123867       +/- 2.85719E-05
       Y1,-1 Total Reaction Rate Moment     3.71109E-06    +/- 9.91786E-06
       Y1,0 Total Reaction Rate Moment      -3.38949E-04   +/- 2.56843E-07
       Y1,1 Total Reaction Rate Moment      3.94401E-06    +/- 9.85467E-06
       Y2,-2 Total Reaction Rate Moment     -6.50191E-06   +/- 7.84095E-06
       Y2,-1 Total Reaction Rate Moment     -8.60685E-07   +/- 5.46541E-07
       Y2,0 Total Reaction Rate Moment      3.37169E-03    +/- 7.21915E-06
       Y2,1 Total Reaction Rate Moment      -6.13056E-07   +/- 5.47362E-07
       Y2,2 Total Reaction Rate Moment      2.01766E-06    +/- 7.92041E-06
       Y3,-3 Total Reaction Rate Moment     -5.03861E-06   +/- 6.88954E-06
       Y3,-2 Total Reaction Rate Moment     -1.62906E-06   +/- 5.48668E-07
       Y3,-1 Total Reaction Rate Moment     -4.53812E-06   +/- 5.90685E-06
       Y3,0 Total Reaction Rate Moment      1.50742E-04    +/- 4.35086E-07
       Y3,1 Total Reaction Rate Moment      -6.67067E-06   +/- 5.81851E-06
       Y3,2 Total Reaction Rate Moment      7.17873E-08    +/- 5.39953E-07
       Y3,3 Total Reaction Rate Moment      -4.03427E-07   +/- 6.87222E-06
   Incoming Energy [6.25000E-06, 1.01200E-04)
     Total Material
       Y0,0 Flux Moment                     0.226161       +/- 4.30767E-05
       Y1,-1 Flux Moment                    5.57122E-05    +/- 1.97377E-05
       Y1,0 Flux Moment                     -3.90650E-04   +/- 3.60270E-07
       Y1,1 Flux Moment                     -1.59799E-05   +/- 1.95471E-05
       Y2,-2 Flux Moment                    1.40659E-06    +/- 1.55419E-05
       Y2,-1 Flux Moment                    3.98175E-07    +/- 9.86586E-07
